Key Pressed,Hold Duration (s),Key Release Time (s),Key Press Time (s)
l,0.0919,0.9096,0.8177
space,0.0864,1.3252,1.2389
p,0.0949,2.4029,2.3081
r,0.2282,3.4343,3.2061
i,0.0744,3.547,3.4726
n,0.0729,3.7735,3.7006
c,0.2184,4.5493,4.331
e,0.2007,5.2794,5.0787
s,0.2106,6.0579,5.8473
a,0.1782,6.6605,6.4823
space,0.0786,7.0363,6.9577
Caps_Lock,0.2367,8.8199,8.5832
s,0.083,10.1632,10.0801
u,0.0705,11.0884,11.0179
Caps_Lock,0.1305,12.4684,12.338
s,0.1661,13.2359,13.0697
q,0.2348,14.3391,14.1044
n,0.0712,14.8599,14.7887
q,0.2867,15.6073,15.3206
comma,0.0832,16.2603,16.1771
space,0.0786,16.5372,16.4586
l,0.0934,17.0617,16.9683
a,0.2115,17.7318,17.5203
space,0.0837,17.8702,17.7866
m,0.2143,18.2671,18.0529
a,0.2029,18.4774,18.2745
y,0.0624,18.7287,18.6663
o,0.0877,18.9716,18.8839
t,0.1066,20.1919,20.0853
r,0.1363,20.2259,20.0897
space,0.064,20.6151,20.5511
d,0.1933,21.1994,21.0061
e,0.1905,21.7117,21.5211
space,0.0686,21.9261,21.8575
t,0.1853,22.6681,22.4828
o,0.0677,22.8097,22.742
d,0.1436,23.592,23.4484
a,0.1512,24.2153,24.0641
s,0.241,24.9554,24.7144
comma,0.0699,25.4849,25.415
space,0.0612,25.7995,25.7383
e,0.163,26.3943,26.2313
s,0.1487,27.0455,26.8968
t,0.22,27.8953,27.6754
a,0.2209,28.7118,28.4909
b,0.0812,29.3907,29.3096
a,0.2253,31.1787,30.9534
space,0.0837,31.3671,31.2835
p,0.1259,31.6275,31.5016
a,0.18,32.3955,32.2155
s,0.2256,33.1961,32.9704
e,0.143,34.3829,34.2399
a,0.2326,35.4728,35.2402
n,0.0546,35.6393,35.5847
d,0.2229,36.6436,36.4207
o,0.0875,37.0199,36.9324
space,0.0535,37.561,37.5075
t,0.1111,39.1931,39.082
r,0.1651,39.7983,39.6332
a,0.188,40.6921,40.5041
n,0.0633,40.9,40.8368
q,0.2527,41.7184,41.4657
u,0.0583,41.9518,41.8934
i,0.0708,42.1338,42.063
l,0.0839,42.4641,42.3802
a,0.183,42.8816,42.6986
m,0.0644,43.044,42.9797
w,0.0957,43.9485,43.8528
e,0.1956,44.5111,44.3155
n,0.0651,44.6274,44.5624
t,0.178,45.5199,45.3419
e,0.2369,46.5002,46.2633
space,0.0514,46.6048,46.5534
p,0.0823,47.1214,47.0391
o,0.0899,47.2996,47.2097
r,0.1777,47.8562,47.6785
space,0.06,47.9867,47.9267
e,0.1397,48.428,48.2883
l,0.0829,48.5966,48.5137
space,0.0632,48.8133,48.75
j,0.0573,49.2634,49.2062
a,0.1849,49.8746,49.6897
r,0.1792,50.7061,50.5268
i,0.0568,51.7843,51.7276
n,0.0658,52.4418,52.376
space,0.0714,52.8909,52.8195
d,0.1634,53.4169,53.2535
e,0.273,54.008,53.7349
l,0.0955,54.2727,54.1772
space,0.0776,54.5656,54.488
p,0.1173,54.8118,54.6945
a,0.185,55.4223,55.2373
l,0.0824,55.5662,55.4838
a,0.1847,56.0202,55.8355
c,0.2457,57.0008,56.755
i,0.0621,57.259,57.1968
o,0.0732,57.5791,57.5059
comma,0.0756,58.4632,58.3876
space,0.0528,58.7727,58.7199
c,0.1971,59.54,59.3429
u,0.0706,59.7561,59.6856
a,0.1805,60.8049,60.6244
n,0.0659,60.9442,60.8783
x,0.0974,61.4662,61.3688
d,0.1538,62.1551,62.0014
o,0.0931,62.424,62.331
space,0.0829,62.6248,62.5419
u,0.0747,62.8573,62.7827
n,0.0833,63.0753,62.992
o,0.1184,63.2929,63.1745
s,0.1977,63.7828,63.585
space,0.0611,63.9198,63.8587
p,0.0911,64.1803,64.0892
[65105],0.0663,64.6932,64.6269
ntilde,0.0597,64.6976,64.6379
a,0.18,65.1376,64.9576
t,0.0698,66.3894,66.3196
a,0.2327,67.1774,66.9448
l,0.0738,67.3704,67.2966
o,0.0834,67.6262,67.5428
s,0.2378,68.6806,68.4428
space,0.0954,70.0504,69.955
d,0.2455,72.0621,71.8166
e,0.2819,73.1809,72.8989
space,0.0759,73.3291,73.2532
r,0.2778,74.7176,74.4398
o,0.0795,74.7699,74.6904
s,0.2011,75.5313,75.3303
a,0.1315,76.1436,76.0121
s,0.0962,76.75,76.6537
space,0.0826,77.5801,77.4975
l,0.077,78.0862,78.0092
e,0.284,78.7562,78.4722
space,0.0655,78.9161,78.8507
r,0.2273,79.6909,79.4636
o,0.0703,79.769,79.6987
z,0.1234,80.5122,80.3888
a,0.1836,81.157,80.9734
r,0.2757,82.3436,82.068
o,0.1182,82.5062,82.388
n,0.101,82.8889,82.7879
space,0.0299,83.241,83.211
l,0.0932,84.3481,84.2549
i,0.1007,84.581,84.4803
g,0.1498,86.1925,86.0427
e,0.2151,87.0284,86.8133
r,0.1924,87.7202,87.5278
a,0.215,88.5507,88.3356
m,0.0704,88.8799,88.8095
e,0.2467,89.6029,89.3562
n,0.0511,89.7167,89.6656
t,0.2005,90.4737,90.2733
e,0.2853,91.7881,91.5028
space,0.0518,91.9199,91.8681
e,0.2545,92.6134,92.3589
n,0.0579,92.6674,92.6095
space,0.0756,93.0606,92.9851
l,0.1055,93.3214,93.2159
a,0.2014,93.8348,93.6333
space,0.0605,94.0132,93.9528
c,0.2324,95.4669,95.2346
a,0.2152,96.1333,95.9181
b,0.1649,97.8712,97.7063
e,0.1689,98.5222,98.3533
z,0.1716,99.3266,99.155
a,0.2853,100.4958,100.2105
period,0.0756,101.1073,101.0317
space,0.0705,101.5128,101.4423
Shift_L,0.3547,102.4193,102.0646
space,0.0512,103.4058,103.3546
a,0.2646,103.4839,103.2193
p,0.0821,105.0476,104.9655
r,0.1968,106.2297,106.0329
i,0.114,106.4759,106.3619
n,0.0783,106.6634,106.5851
c,0.1925,107.5398,107.3473
e,0.1746,108.282,108.1074
s,0.1844,109.1537,108.9693
a,0.1662,109.9483,109.7821
space,0.0977,110.3494,110.2517
c,0.1714,110.9815,110.8102
a,0.0907,111.5982,111.5075
a,0.0861,111.7904,111.7043
a,0.1836,112.4307,112.2471
y,0.0733,112.7081,112.6348
[65105],0.0852,113.4647,113.3795
o,0.0881,113.792,113.7039
space,0.0773,114.0322,113.9549
a,0.1969,114.6502,114.4533
l,0.0906,114.9064,114.8158
space,0.0684,115.1576,115.0891
s,0.2456,115.8112,115.5655
u,0.0688,115.9861,115.9173
e,0.2451,116.9755,116.7304
l,0.0834,117.143,117.0597
o,0.1059,117.6344,117.5285
space,0.0637,118.2103,118.1466
d,0.1367,118.8282,118.6915
e,0.1917,119.5652,119.3736
s,0.2826,120.1734,119.8908
m,0.0822,120.4484,120.3662
a,0.2138,120.8873,120.6735
y,0.0846,121.0677,120.983
z,0.0564,121.4075,121.3511
a,0.1605,121.4418,121.2813
d,0.1696,122.6698,122.5003
a,0.2889,124.3162,124.0273
space,0.0941,125.1376,125.0435
x,0.0858,126.0725,125.9867
c,0.1189,126.0837,125.9648
o,0.1392,126.5783,126.4391
n,0.0714,126.7685,126.6971
space,0.0564,127.1416,127.0852
u,0.0762,127.5918,127.5156
n,0.0903,127.8596,127.7693
space,0.071,128.117,128.0459
e,0.2353,129.1465,128.9113
n,0.0624,129.3036,129.2412
o,0.1104,129.5259,129.4155
r,0.1458,130.3394,130.1936
m,0.0755,130.6971,130.6216
e,0.2152,131.0798,130.8646
space,0.0699,131.2417,131.1718
h,0.0608,131.7839,131.7231
c,0.2625,131.8112,131.5488
i,0.0875,132.0259,131.9384
h,0.0601,132.4523,132.3922
c,0.2981,132.5179,132.2198
[65105],0.1015,133.2183,133.1168
o,0.1176,133.6369,133.5193
n,0.0955,134.2864,134.1908
space,0.0822,135.5361,135.4538
period,0.076,137.3167,137.2406
space,0.074,137.7152,137.6411
Shift_L,0.3342,140.3537,140.0195
o,0.0884,140.5989,140.5105
s,0.2561,142.1315,141.8754
space,0.0805,142.2285,142.148
m,0.0704,142.4708,142.4003
[65105],0.0743,143.0086,142.9343
e,0.1899,143.7802,143.5903
d,0.25,144.5194,144.2694
i,0.0706,144.8057,144.7351
c,0.2603,145.4566,145.1962
o,0.0837,145.6063,145.5226
s,0.2373,147.6982,147.4609
space,0.0908,148.0635,147.9727
p,0.1312,148.6833,148.5521
u,0.0605,148.9977,148.9372
d,0.1924,149.8179,149.6255
i,0.0685,150.0209,149.9524
e,0.1363,150.4609,150.3246
e,0.1315,151.2766,151.1451
o,0.1052,151.9502,151.845
n,0.0833,152.1853,152.1019
space,0.0701,152.4597,152.3896
c,0.3026,153.4757,153.1731
u,0.0607,153.6398,153.5792
r,0.2501,155.3848,155.1347
a,0.2483,156.4894,156.2411
f,0.0555,157.6317,157.5761
r,0.2043,157.773,157.5687
l,0.0815,158.1359,158.0544
a,0.3671,159.8447,159.4776
space,0.0737,160.702,160.6283
s,0.1391,161.4643,161.3252
d,0.1627,162.3944,162.2317
e,0.143,163.0962,162.9532
space,0.0834,163.5847,163.5013
a,0.1372,164.3701,164.2329
q,0.1878,164.9981,164.8103
u,0.067,165.2261,165.1592
e,0.1994,166.0737,165.8743
l,0.0889,166.3052,166.2163
space,0.066,166.6297,166.5637
g,0.2664,170.3326,170.0662
o,0.09,170.6081,170.5181
l,0.0981,170.8207,170.7226
p,0.1261,171.0818,170.9557
e,0.2902,171.9701,171.6799
space,0.0481,172.0041,171.9561
p,0.0878,172.4949,172.4071
e,0.2205,173.0552,172.8346
f,0.1138,173.6781,173.5643
r,0.252,173.8379,173.586
o,0.0852,174.0777,173.9925
space,0.0638,174.3082,174.2443
l,0.0851,174.8622,174.7771
a,0.2172,175.6082,175.391
space,0.0808,175.7651,175.6844
p,0.1115,176.003,175.8914
r,0.138,176.837,176.6989
i,0.0669,177.0191,176.9522
n,0.099,177.2182,177.1192
c,0.2599,178.1633,177.9034
w,0.0552,178.7555,178.7002
e,0.1322,178.849,178.7168
s,0.155,179.5206,179.3656
